"Bid Solicitation #","Organization Name","Contract #","Buyer","Description","Bid Opening Date","Bid Holder List","Awarded Vendor(s)","Status","Alternate Id"
"69CRC-S3422","Colorado River Commission","","Gina Goodman","Digital Substation Inspection Platform","08/26/2025 14:00:00","","","Sent","SA-25-DSIP"
"44DOC-S3421","Department of Corrections","","Joel Wixon","Contraband Cell Phone Interdiction Services","08/05/2025 17:00:00","","Award in Process","Opened",""
"90DETR-S3420","Department of Employment, Training and Rehabilitation","","Lauren Ford","N. NV Electrical Services ","07/22/2025 17:00:00","","Award in Process","Opened","N. NV Electrical Services"
"30DOE-S3418","Department of Education","","Yvonne Allison","SB460 Implentation","08/08/2025 14:00:00","/bso/external/bidAckList.sdo","Award in Process","Opened",""
"80DOT-S3415","Department of Transportation","","Annette Morfin","6' Guide Posts","07/28/2025 13:00:00","","Silver State Barricade & Sign","Bid to PO","NDEQ026301"
"CTYNLV-S3414","City of North Las Vegas","","Joy Yoshida","RFP 2025-010 Mobile Surveillance System Trailers (NGEM)","07/31/2025 13:00:00","","Award in Process","Opened","RFP 2025-010 Mobile Surveillance System Trailers "
"65DPS-S3413","Department of Public Safety","","Heather Moon","Statewide Uniforms - Department of Public Safety","08/18/2025 14:00:00","","Award in Process","Opened",""
"90DETR-S3412","Department of Employment, Training and Rehabilitation","","Lauren Ford","Grease Trap Services","07/15/2025 17:00:00","","Bid Solicitation Closed - No Qualifying Quotes Received","Closed","Grease Interceptor Services"
"65DPS-S3411","Department of Public Safety","","Kasen Cornmesser","Statewide Tow Management","08/01/2025 09:00:00","","Award in Process","Opened",""
"65DPS-S3410","Department of Public Safety","","Heather Moon","INTOXILYZER 9000","07/28/2025 12:00:00","/bso/external/bidAckList.sdo","CMI, Inc.","Bid to PO",""
"08DOA-S3408","Department of Administration","","Alyssa Ericksen","NOFO - LSTA Grant ","07/18/2025 00:00:00","","","Sent",""
"10TCA-S3407","Department of Tourism And Cultural Affairs","","Stewart Terry","Short Term Rental Data","08/08/2025 13:00:00","","Award in Process","Opened",""
"70CNR-S3406","Department of Conservation and Natural Resources","","Emily Larsen","FFY26 RTP Grant round","08/04/2025 17:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"40DHHS-S3404","Department of Human Services","","Heather Moon","School Health Services (SHS) Electronic Health Record (EHR) and Billing System","07/31/2025 14:00:00","","Award in Process","Opened",""
"24VS-S3400","Department of Veterans Services","","Jacob  Clodfelter","Pest Control","07/03/2025 14:00:00","","Award in Process","Opened",""
"81DMV-S3399","Department of Motor Vehicles","","Heather Moon","Credential Print Solution","07/31/2025 14:00:00","","Award in Process","Opened",""
"40DHHS-S3398","Department of Human Services","","Heather Moon","Government Accounting Services and Medicaid Auditing","09/09/2025 14:00:00","","","Sent",""
"80DOT-S3397","Department of Transportation","","Chuy Ampudia","Corrosion Inhibited Solid Chemical De-Icer","07/21/2025 00:00:00","/bso/external/bidAckList.sdo","Award in Process","Opened",""
"90DETR-S3396","Department of Employment, Training and Rehabilitation","","Lauren Ford","Grease Trap Services","07/08/2025 15:00:00","","Award in Process","Opened","Grease Trap Services"
"90DETR-S3395","Department of Employment, Training and Rehabilitation","","Lauren Ford","N. NV Electrical Services ","07/11/2025 12:00:00","","Award in Process","Opened","N. NV Electrical Services"
"40DHHS-S3392","Department of Human Services","","Jennifer Thomas","Victims of Crime - Medical Billing and Claims Management","09/11/2025 14:00:00","","","Sent",""
"40DHHS-S3391","Department of Human Services","","Jennifer Thomas","VOC Claim Management Software","09/10/2025 14:00:00","","","Sent",""
"90DETR-S3390","Department of Employment, Training and Rehabilitation","","Lauren Ford","Comprehensive Statewide Needs Assessment","08/11/2025 17:00:00","","Award in Process","Opened",""
"90DETR-S3389","Department of Employment, Training and Rehabilitation","","Lauren Ford","S. NV Electrical Services","07/09/2025 17:00:00","","Award in Process","Opened","S. NV Electrical Services"
"90DETR-S3388","Department of Employment, Training and Rehabilitation","","Lauren Ford","S. NV Handyman Services","06/30/2025 17:00:00","","Award in Process","Opened",""
"10TCA-S3385","Department of Tourism And Cultural Affairs","","Annette Morfin","Domestic Visitor Study","08/20/2025 13:00:00","","Award in Process","Opened",""
"15COE-S3384","Commission on Ethics","","Cori Moritz","Solicitation Waiver, Cont'd hosting for online management system","06/23/2025 17:00:00","","","Sent","SW250602"
"90DETR-S3381","Department of Employment, Training and Rehabilitation","","Lauren Ford","Program Consultant","07/08/2025 17:00:00","","Award in Process","Opened","Program Consultant "
"CTYNLV-S3377","City of North Las Vegas","","Joy Yoshida","RFP 2029-009 Fire Training Structure (NGEM)","06/30/2025 13:00:00","","Award in Process","Opened","RFP 2025-009 Fire Training Structure (NGEM)"
"65DPS-S3376","Department of Public Safety","","Heather Moon","INTOXILYZER 9000","06/25/2025 12:00:00","/bso/external/bidAckList.sdo","CMI, Inc.","Bid to PO",""
"40DHHS-S3374","Department of Human Services","","Ryan Vradenburg","Solicitation Waiver, Cont'd services/Nevada's juvenile justice tracking system","06/10/2025 17:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","SW250504"
"80DOT-S3373","Department of Transportation","","Heather Moon","60K GVW Tandem Axle w/Flatbed Body and Crane","07/02/2025 12:00:00","","Velocity Truck Centers","Bid to PO","NDEQ025505"
"99SWC-S3369","Statewide Contracts","","Teri Becker","Statewide Long Distance and Toll Free Services","07/24/2025 14:00:00","","","Sent",""
"80DOT-S3368","Department of Transportation","","Heather Moon","60K GVW Dump - Plow Trucks","06/30/2025 12:00:00","","Velocity Truck Centers","Bid to PO","NDEQ025516"
"65DPS-S3366","Department of Public Safety","","Heather Moon","SOTOXA ORAL FLUID MOBILE ANALYZER SYSTEM","06/24/2025 12:00:00","/bso/external/bidAckList.sdo","Intoximeters Inc.","Bid to PO",""
"04SOS-S3364","Secretary of State's Office","","Chuy Ampudia","Statewide Mail Ballot Vendor","06/12/2025 15:00:00","","ProVote Solutions","Bid to PO",""
"40DHHS-S3363","Department of Human Services","","Charity Clarke","Solicitation Waiver, CAREWare client-level database hosting","06/03/2025 17:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","SW250503"
"08DOA-S3362","Department of Administration","","Joel Smedes","Solicitation Waiver, Silvernet access for occupants at McCarran Campus","06/02/2025 17:00:00","","Bid Solicitation Closed - Award Exempt","Closed","SW250502"
"70CNR-S3361","Department of Conservation and Natural Resources","","Emily Larsen","On Call Septic","06/05/2025 10:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"70CNR-S3358","Department of Conservation and Natural Resources","","Heather Moon","Chainsaw Parts and Equip. Replacement","06/17/2025 12:00:00","/bso/external/bidAckList.sdo","Wharton Concrete Forming Supply of Nevada, LLC","Bid to PO",""
"24VS-S3357","Department of Veterans Services","","Heather Moon","Landscaping Services for So. Nevada State Veterans Home","08/05/2025 14:00:00","","Award in Process","Opened","24VS-S1701"
"40DHHS-S3355","Department of Human Services","","Annette Morfin","Food Service","09/17/2025 13:00:00","","","Sent",""
"40DHHS-S3351","Department of Human Services","40DHHS-NV25-25836","Annette Morfin","NYTC Quarterly Dairy Solicitation","06/12/2025 13:00:00","","Bair Distributing","Bid to PO",""
"40DHHS-S3350","Department of Human Services","40DHHS-NV25-25837 40DHHS-NV25-25838","Annette Morfin","NYTC Quarterly Meat Solicitation","06/12/2025 13:00:00","","Independent Meat , Sysco USA 1, Inc. (Intermountain)","Bid to PO",""
"30DOE-S3348","Department of Education","30DOE-NV25-25580","Chuy Ampudia","Quality Rating Improvement System","05/15/2025 13:30:00","","EARLY LEARNING INSIGHT LLC","Bid to PO","30DOE-S3135"
"08DOA-S3347","Department of Administration","","Cori Moritz","Solicitation Waiver, Maintenance of NEATS, NVAPPS, HRDW, PRDW","05/20/2025 17:00:00","","","Sent","SW250501"
"96SSHIX-S3346","Silver State Health Insurance Exchange","","Chuy Ampudia","Audit Services ","06/24/2025 16:30:00","","BerryDunn","Bid to PO",""
"72DOW-S3345","Department of Wildlife","","Joel Smedes","Habitat - Herbicide - 2025","05/23/2025 14:00:00","/bso/external/bidAckList.sdo","Orion Solutions","Bid to PO","RQS 702-R107632"
"BRDCOM-S3344","Independent Boards and Commissions","","Shane Barjon","Finacial Auditing Services","05/22/2025 00:00:00","","","Sent",""
"BRDCOM-S3343","Independent Boards and Commissions","","Shane Barjon","Finacial Auditing Services","05/22/2025 00:00:00","","","Sent",""
"99SWC-S3340","Statewide Contracts","","Jennifer Thomas","Brand Pharmaceuticals and Brand Name Over the  Counter Products","07/31/2025 12:00:00","","N/A","Closed","MMCAP 35751"
"40DHHS-S3339","Department of Human Services","","Heather Moon","Actuarial Services","07/08/2025 14:00:00","","Award in Process","Opened",""
"70CNR-S3337","Department of Conservation and Natural Resources","","Nancy Feser","Firefighting Boots","05/28/2025 14:00:00","/bso/external/bidAckList.sdo","Kenetrek, LLC","Bid to PO","70CNR-R106982"
"80DOT-S3335","Department of Transportation","80DOT-NV25-25973 80DOT-NV25-25975 80DOT-NV25-25976 80DOT-NV25-25974","Chuy Ampudia","Highway Road Salt","06/05/2025 23:59:59","/bso/external/bidAckList.sdo","Huck Salt, McArthur Farm Supply, Inc, Safe Salt Supply, Shelton's","Bid to PO",""
"81DMV-S3334","Department of Motor Vehicles","","Cori Moritz","Solicitation Waiver, access to AAMVA","05/09/2025 17:00:00","","","Sent","SW250407"
"40DHHS-S3333","Department of Human Services","","Jennifer Tongol Lee","Nevada Substance Use Prevention Treatment Recovery Services Request for Application","05/31/2025 23:59:59","","","Sent",""
"65DPS-S3331","Department of Public Safety","","Kasen Cornmesser","CISM Peer Support Training","05/15/2025 12:00:00","","Award in Process","Approved",""
"40DHHS-S3330","Department of Human Services","","Mariana Acevedo","DRC Water Heaters","05/16/2025 17:00:00","","Award in Process","Opened",""
"81DMV-S3329","Department of Motor Vehicles","","Heather Moon","Credit Card Reader Replacement","05/30/2025 14:00:00","","Award in Process","Opened",""
"99SWC-S3328","Statewide Contracts","","Annette Morfin","Security Guard Services","06/18/2025 13:00:00","","Allied Universal Security Services, American Guard Services, Inc.","Bid to PO",""
"43ADG-S3327","Adjutant General","","Heather Moon","Bobcat Skid-Steer","05/22/2025 12:00:00","/bso/external/bidAckList.sdo","Bobcat of Reno","Bid to PO","Chris Snidow"
"CTYNLV-S3324","City of North Las Vegas","","Joy Yoshida","RFP 2025-007 Homeless Outreach (NGEM)","05/08/2025 13:00:00","","Award in Process","Opened","RFP 2025-007 Homeless Outreach (NGEM)"
"80DOT-S3323","Department of Transportation","","Chuy Ampudia","Guide Posts","05/07/2025 15:00:00","","Silver State Barricade & Sign","Bid to PO",""
"40DHHS-S3320","Department of Human Services","","Jennifer Thomas","System of Care Training in Evidence-Based Practices ","07/09/2025 14:00:00","","Award in Process","Opened",""
"40DHHS-S3319","Department of Human Services","","Jennifer Thomas","System of Care Sustainable Model/Framework for Service Provision","07/17/2025 14:00:00","","Award in Process","Opened",""
"40DHHS-S3318","Department of Human Services","","Jennifer Thomas","Psychiatrist Services - NYTC","07/07/2025 14:00:00","","Award in Process","Opened",""
"80DOT-S3317","Department of Transportation","","Heather Moon","60K GVW 3,600 Gallon Water Trucks","06/04/2025 12:00:00","","Velocity Truck Centers","Bid to PO","NDEQ025502, 25503, 25504"
"40DHHS-S3316","Department of Human Services","","Cori Moritz","Solicitation Waiver, Pharmacy Benefit Management service to the AIDS Drug Assistance Program","05/05/2025 16:35:00","","Bid Solicitation Closed - No Vendor Awarded","Closed","SW250405"
"04SOS-S3315","Secretary of State's Office","","Chuy Ampudia","Nevada Elected Officials Training Conference ","05/12/2025 15:00:00","","Caesars Entertainment, INC.","Bid to PO",""
"43ADG-S3314","Adjutant General","","Carlos Fuentes","Upgrade CSMS 2 Welding Shop Lighting","05/22/2025 23:59:59","","Award in Process","Opened",""
"44DOC-S3313","Department of Corrections","","Nancy Feser","Inmate Toiletries NDOC","05/29/2025 14:00:00","","Award in Process","Evaluated",""
"70CNR-S3312","Department of Conservation and Natural Resources","","Raul Betancourt","NOFO - Lab Certification Program Management System (LCPMS) Annual Maintenance and Support","05/12/2025 15:00:00","","","Sent",""
"80DOT-S3310","Department of Transportation","","Heather Moon","Towable Road Broom","05/16/2025 12:00:00","","Pape' Machinery, Inc. ","Bid to PO","NDEQ025499, NDEQ025500"
"80DOT-S3309","Department of Transportation","","Heather Moon","51 Ton Detachable Gooseneck Trailer","05/15/2025 12:00:00","","Enoven Truck Body + Equipment","Bid to PO","NDEQ025497"
"80DOT-S3308","Department of Transportation","","Heather Moon","Dual Engine Six-Wheel Dustless Waterless Street Sweepers with Belt Conveyor PM 10 Compliant","05/14/2025 12:00:00","","Velocity Truck Centers","Bid to PO","25476, 25477, 25478, 25479, 25480"
"70CNR-S3306","Department of Conservation and Natural Resources","","Emily Larsen","On Call HVAC- Eastern Region","05/05/2025 17:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"40DHHS-S3298","Department of Human Services","","Xylan Ladista","Grant subaward","05/12/2025 17:00:00","","","Sent",""
"40DHHS-S3297","Department of Human Services","","Xylan Ladista","Grant subaward","05/09/2025 17:00:00","","","Sent",""
"72DOW-S3296","Department of Wildlife","","Cori Moritz","Solicitation Waiver, Provide processing services for the Federal Electronic Duck Stamp Program","04/21/2025 17:00:00","","","Sent","SW250404"
"44DOC-S3294","Department of Corrections","","Annette Morfin","Alfalfa Hay","04/25/2025 12:00:00","","Herman Menezes LLC","Bid to PO",""
"08DOA-S3293","Department of Administration","08DOA-NV25-25874","Joel Smedes","Pest Control for Southern Nevada ","05/23/2025 14:00:00","","BioPest Elimination","Bid to PO",""
"30DOE-S3289","Department of Education","","Chuy Ampudia","NDE Video Conferencing Equipment Replacement","05/30/2025 15:00:00","","Award in Process","Opened",""
"65DPS-S3288","Department of Public Safety","","Kami Thompson","Uninterruptable Power Supply","04/30/2025 14:00:00","","Facility Gateway Corporation","Bid to PO",""
"04SOS-S3287","Secretary of State's Office","","Cori Moritz","Solicitation Waiver, Creation and developments of election data to be used in up to 4 mock elections","04/18/2025 17:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","SW250402"
"90DETR-S3286","Department of Employment, Training and Rehabilitation","","Cori Moritz","Solicitation Waiver, the futurework BI product ","04/18/2025 17:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","SW250401"
"72DOW-S3285","Department of Wildlife","","Susan  Young","Grant Opportunity","04/14/2025 09:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"08DOA-S3284","Department of Administration","","Joel Smedes","HVAC Preventive Maintenance and Inspection Services for the McCarran Center Buildings","07/11/2025 14:00:00","","Diversified Thermal Services LLC","Bid to PO",""
"40DHHS-S3283","Department of Human Services","","Mariana Acevedo","DRC Water Heaters","04/22/2025 17:00:00","","Bid Solicitation Closed - No Qualifying Quotes Received","Closed",""
"90DETR-S3282","Department of Employment, Training and Rehabilitation","","Teri Becker","HVAC Maintenance Services for Northern Nevada Facilities","06/25/2025 14:00:00","","ACCO Engineered Systems, Inc.","Bid to PO",""
"40DHHS-S3281","Department of Human Services","","Heather Moon","School Health Services (SHS) Electronic Health Record (EHR) and Billing System","05/15/2025 14:00:00","","Bid Solicitation Closed - No Vendor Awarded","Closed",""
"40DHHS-S3278","Department of Human Services","","Jennifer Thomas","State Sponsored Dental Plan for Ryan White Consumers","06/24/2025 14:00:00","","Bid Solicitation Closed - No Qualifying Quotes Received","Closed",""
"43ADG-S3277","Adjutant General","","Theresa Sianez","EOC Carpet Removal & Concrete Polish","04/24/2025 23:59:59","","Award in Process","Opened",""
"24VS-S3276","Department of Veterans Services","","Thomas Helms","Oxygen Services for the So. NV State Veterans Home","05/19/2025 14:00:00","","Airtec Gases, LLC","Bid to PO",""
"40DHHS-S3275","Department of Human Services","","Denise Frohlich","Window Installation","05/02/2025 10:00:00","","Bid Solicitation Closed - No Qualifying Quotes Received","Closed",""
"08DOA-S3274","Department of Administration","08DOA-NV25-25682","Joel Smedes","HVAC Air Filters Services for the McCarren Center","05/01/2025 14:00:00","","Diversified Thermal Services LLC","Bid to PO",""
"24VS-S3273","Department of Veterans Services","","Jacob  Clodfelter","Southern Cemetery Audio Installation","04/25/2025 14:00:00","","Award in Process","Opened",""
"CTYNLV-S3272","City of North Las Vegas","","Joy Yoshida","BID B-1751 Citywide Toilet Rental Services (NGEM)","04/29/2025 10:00:00","","Award in Process","Opened","BID B-1751 Citywide Toilet Rental Services (NGEM)"
"04SOS-S3271","Secretary of State's Office","","Chuy Ampudia","Statewide Mail Ballot Vendor","05/20/2025 15:00:00","","Bid Solicitation Closed - No Vendor Awarded","Closed",""
"43ADG-S3270","Adjutant General","","Anthony Laskowski","OTAG Auditorium Carpet replacement","04/17/2025 00:00:00","","Award in Process","Opened",""
"40DHHS-S3269","Department of Human Services","40DHHS-NV25-25564","Mariana Acevedo","Galletti Flooring - SRC","04/11/2025 17:00:00","","Steadfast Construction LLC","Bid to PO",""
"70CNR-S3268","Department of Conservation and Natural Resources","","Joel Smedes","State Parks Southern Region HVAC Services","09/16/2025 14:00:00","","","Sent",""
"BRDCOM-S3267","Independent Boards and Commissions","","Joel Wixon","Board Room AV","08/22/2025 17:00:00","","","Sent",""
"99SWC-S3266","Statewide Contracts","","Thomas Helms","IBM Hardware, Software, and Services","06/03/2025 14:00:00","","Award in Process","Opened",""
"40DHHS-S3265","Department of Human Services","","Mariana Acevedo","Galletti Doors - SRC","04/11/2025 17:00:00","","Bid Solicitation Closed - No Qualifying Quotes Received","Closed",""
"40DHHS-S3263","Department of Human Services","","Kimberly Garcia","Problem Gambling Specialty Treatment Services","03/26/2025 17:00:00","","Award in Process","Opened",""
"10TCA-S3262","Department of Tourism And Cultural Affairs","","Annette Morfin","Ad Evaluation Study","07/15/2025 13:00:00","","Award in Process","Opened",""
"80DOT-S3260","Department of Transportation","","Heather Moon","Transport Tractors","04/23/2025 12:00:00","","Velocity Truck Centers","Bid to PO","NDEQ025487/NDEQ025488"
"70CNR-S3258","Department of Conservation and Natural Resources","","Emily Larsen","On Call Electrical- Eastern Region","04/15/2025 10:00:00","","I & E ELECTRIC, INC.","Bid to PO",""
"40DHHS-S3257","Department of Human Services","","Denise Frohlich","8A Floors","04/28/2025 10:00:00","","Steadfast Construction LLC","Bid to PO",""
"72DOW-S3252","Department of Wildlife","","Susan  Young","Grant Opportunity","03/27/2025 14:00:15","","Bid Solicitation Closed - No Qualifying Quotes Received","Closed",""
"40DHHS-S3250","Department of Human Services","","Bobbie Jo Guillot","HVAC","06/13/2025 12:00:00","","Award in Process","Opened",""
"70CNR-S3249","Department of Conservation and Natural Resources","70CNR-NV25-25302","Emily Larsen","On Call Plumbing - Lake Tahoe Region","04/08/2025 10:00:00","","Summit Plumbing CO., LLC","Bid to PO",""
"74BAI-S3248","Department of Business and Industry","","Brianna Anderson","Solicitation Waiver, Testing Fee Software","03/31/2025 17:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","SW250302"
"80DOT-S3247","Department of Transportation","","Thomas Helms","Hardware refresh for Traffic Operations Division.","04/16/2025 14:00:00","","Sierra Transportation & Technologies LLC","Bid to PO","NDHQ52525"
"90DETR-S3243","Department of Employment, Training and Rehabilitation","","Lauren Ford","North NV Commercial Appliance Repair and Maintenance","03/21/2025 17:00:00","","BURNEYS COMMERCIAL SVC OF NV INC","Bid to PO",""
"CTYNLV-S3242","City of North Las Vegas","","Joy Yoshida","RFP 2025-005 Building Plans Examination Services (NGEM)","04/21/2025 13:00:00","","Award in Process","Opened","RFP 2025-005 Building Plan Examination Services"
"72DOW-S3241","Department of Wildlife","","Nancy Camarena","RES and Dream Tag Marketing","04/01/2025 08:00:00","/bso/external/bidAckList.sdo","Award in Process","Opened",""
"72DOW-S3240","Department of Wildlife","","Teri Becker","Habitat - Classic P16 Top - 2025","03/27/2025 14:00:00","/bso/external/bidAckList.sdo","Boss Tanks, Inc.","Bid to PO","72DOW-R99485"
"40DHHS-S3238","Department of Human Services","","Fran Maldonado","RFI Substance Use Prevention Treatment Recovery Services Certification Application Modernization","05/02/2025 17:00:00","","Award in Process","Opened",""
"70CNR-S3237","Department of Conservation and Natural Resources","","Emily Larsen","On Call HVAC- Eastern Region","04/09/2025 10:00:00","","Bid Solicitation Closed - No Vendor Awarded","Closed",""
"CTYNLV-S3235","City of North Las Vegas","","Joy Yoshida","RFP 2025-004 Public Defender Services (NGEM)","04/09/2025 13:00:00","","Award in Process","Opened","RFP 2025-004 Public Defender Services (NGEM)"
"80DOT-S3234","Department of Transportation","","Heather Moon","8,000lb Pneumatic Diesel Forklift","04/07/2025 12:00:00","","OCTANE Forklifts, Inc.","Bid to PO","NDEQ025483"
"40DHHS-S3233","Department of Human Services","","Brianna Anderson","Solicitation Waiver, CANS Implementation","03/24/2025 17:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","SW250301"
"CTYNLV-S3232","City of North Las Vegas","","Joy Yoshida","RFP 2025-002 Emergency Services Transport Billing (NGEM)","04/07/2025 13:00:00","","Award in Process","Opened","RFP 2025-002 Emergency Services Transport Billing "
"70CNR-S3230","Department of Conservation and Natural Resources","","Emily Larsen","TR Boiler replacement and maintenance","04/08/2025 10:00:00","","Award in Process","Opened",""
"43ADG-S3228","Adjutant General","","Carlos Fuentes","Henderson Fiber Line Install","04/08/2025 23:59:59","","Award in Process","Opened",""
"80DOT-S3226","Department of Transportation","","Heather Moon","Street Sweepers Dual Engine Six Wheel with Belt Conveyor NON PM 10","04/09/2025 12:00:00","","Velocity Truck Centers","Bid to PO","NDEQ025481, NDEQ025482"
"69CRC-S3224","Colorado River Commission","","Gina Goodman","Electrical Test Equipment","04/10/2025 17:00:00","","Award in Process","Opened","ES-25 Electrical Equipment Testing"
"08DOA-S3223","Department of Administration","","Sue Sands","Third-party elevator inspections ","05/28/2025 14:00:00","","National Elevator Inspection Services, Inc.","Bid to PO",""
"99SWC-S3222","Statewide Contracts","","Chuy Ampudia","Debris Removal and Monitoring Services (NASPO)","04/14/2025 13:00:00","","Bid Solicitation Closed - No Vendor Awarded","Closed",""
"55AGR-S3221","Department of Agriculture","","Teri Becker","HVAC Preventative Maintenance and Repair","06/17/2025 14:00:00","","Award in Process","Opened",""
"69CRC-S3220","Colorado River Commission","","Gina Goodman","Specialized Substation Safety and Maintenance Training","04/10/2025 17:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","TR-25 Specialized Substation Safety and Maintenanc"
"69CRC-S3219","Colorado River Commission","","Gina Goodman","SF6 Gas Reclaimer Equipment and Service","04/10/2025 17:00:00","","Award in Process","Opened","SA-25 SF6 Gas Reclaimer Equipment and Service"
"69CRC-S3218","Colorado River Commission","","Gina Goodman","Protective Relaying and SCADA Equipment","04/10/2025 17:00:00","","Award in Process","Opened","SA-25 Protective Relaying and SCADA Equipment"
"69CRC-S3216","Colorado River Commission","","Gina Goodman","High Voltage System Engineering Services","04/10/2025 17:00:00","","Award in Process","Opened","ES-25"
"69CRC-S3215","Colorado River Commission","","Gina Goodman","CRCGV-06 Control Enclosure","04/10/2025 17:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"40DHHS-S3214","Department of Human Services","40DHHS-NV25-25420","Joel Smedes","Pharmacy Benefits Manager","04/21/2025 14:00:00","","Ramsell Corporation","Bid to PO",""
"CTYNLV-S3213","City of North Las Vegas","","Joy Yoshida","RFP 2025-003 Well Maintenance and Repair Services  (NGEM)","03/31/2025 13:00:00","","Award in Process","Opened","RFP 2025-003 Well Maintenance and Repair Services "
"80DOT-S3212","Department of Transportation","","Heather Moon","33,000 GVW Sign Cone Trucks Cab & Chassis Only","04/02/2025 12:00:00","","Velocity Truck Centers","Bid to PO","NDEQ025473, NDEQ025474, NDEQ025475"
"44DOC-S3211","Department of Corrections","44DOC-NV25-25219","Annette Morfin","Staff Wellness Program - Curriculum and Mobile App","03/28/2025 13:00:00","","EmbGro","Bid to PO",""
"99SWC-S3210","Statewide Contracts","","Jennifer Thomas","Procurement Assistance and Support Services (NASPO - North Carolina)","04/16/2025 14:00:00","","N/A","Closed",""
"65DPS-S3209","Department of Public Safety","","Kasen Cornmesser","Janitorial Services - Fallon NV","03/21/2025 12:00:00","","Award in Process","Approved",""
"01GO-S3208","Governor's Office","","Nicole Kelleher","Grant Subaward","03/28/2025 00:00:00","","","Sent",""
"55AGR-S3207","Department of Agriculture","55AGR-NV25-25869","Teri Becker","USDA Foods Processing Asian Products","04/28/2025 14:00:00","","YANGS 5TH TASTE ","Bid to PO",""
"90DETR-S3206","Department of Employment, Training and Rehabilitation","","Lauren Ford","North NV Commercial Appliance Repair and Maintenance","03/17/2025 17:00:00","","Bid Solicitation Closed - No Qualifying Quotes Received","Closed",""
"74BAI-S3204","Department of Business and Industry","","Charity Clarke","Solicitation Waiver, Claims and Regulatory Data System continued service","03/13/2025 17:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","SW250206"
