PO #,Description,Vendor,Organization,Department,Buyer,Status,Sent Date,Total,Duplicate Count
72DOW-NV20-3036,2019 Toyota 4Runner - Catalano,Carson City Toyota Scion,Department of Wildlife,Department of Wildlife,Heather Moon,3PCO - Closed,10/04/2019,"$36,963.25",2
72DOW-NV25-25772,Habitat - Herbicide - 2025,Orion Solutions,Department of Wildlife,Department of Wildlife,Joel Smedes,3PS - Sent,06/24/2025,"$1,021,278.22",2
74BAI-NV20-3606,ASSP - Robert Albright,American Society of Safety Professionals,Department of Business and Industry,Division of Industrial Relations,Terri Hoogeveen,3PCO - Closed,11/18/2019,"$1,211.25",2
74BAI-NV20-3607,ASSP - Kirti Shah,American Society of Safety Professionals,Department of Business and Industry,Division of Industrial Relations,Terri Hoogeveen,3PCO - Closed,11/18/2019,$807.50,2
74BAI-NV20-3620,EX58933 Escape Hybrid Repair,Friendly Ford,Department of Business and Industry,Division of Industrial Relations,Terri Hoogeveen,3PCO - Closed,11/19/2019,"$1,867.50",2
74BAI-NV22-11534,Poly Voyager 5200 Phone Headset for DIR IT,"Macondo Networks, LLC",Department of Business and Industry,Division of Industrial Relations,Emily Cervi,3PCR - Complete Receipt,04/14/2022,$179.00,3
80DOT-NV19-1706,"Stripes and Legends, Plastic. Prefabricated, Reflective",3M Company,Department of Transportation,Department of Transportation,Marti Marsh,3PCO - Closed,01/04/2019,"$6,726.06",2
80DOT-NV19-1745,Map NV State Highway,"Monarch Litho, Inc.",Department of Transportation,Department of Transportation,Annette Morfin,3PCO - Closed,01/20/2019,"$51,082.28",2
80DOT-NV19-2007,Radio Dual Outdoor,HarborTech Mobility Inc,Department of Transportation,Department of Transportation,Gail Burchett,3PCO - Closed,04/04/2019,"$8,451.82",2
80DOT-NV19-2024,AirLink,CDCE INCORPORATED,Department of Transportation,Department of Transportation,Gail Burchett,3PCO - Closed,04/09/2019,"$14,211.00",4
80DOT-NV19-2165,Convection Bench Oven,The Grieve Corporation,Department of Transportation,Department of Transportation,Annette Morfin,3PCO - Closed,05/09/2019,"$14,491.12",2
80DOT-NV19-2413,IP Conference Phone,"Convergeone, Inc.",Department of Transportation,Department of Transportation,Gail Burchett,3PCO - Closed,06/25/2019,"$47,927.56",2
80DOT-NV20-2884,Infinity D System,Nor Cal Battery Co.,Department of Transportation,Department of Transportation,Marti Marsh,3PCO - Closed,09/11/2019,"$19,270.99",2
80DOT-NV21-6102,Oil Analysis and Diagnostic Equipment ,Snap-on Industrial,Department of Transportation,Department of Transportation,Nancy Feser,3PS - Sent,08/17/2020,"$10,863.35",2
80DOT-NV21-6107,Brush Cutter,Cashman Equipment Company,Department of Transportation,Department of Transportation,Marti Marsh,3PS - Sent,08/17/2020,"$8,612.54",2
81DMV-NV19-1806,Marking System Stylus,"Menke Marking Devices, Inc.",Department of Motor Vehicles,Department of Motor Vehicles,Gail Burchett,3PCO - Closed,02/06/2019,"$8,780.00",2
81DMV-NV19-1996,Document & Passport Scanner,"High Desert Microimaging, Inc.",Department of Motor Vehicles,Department of Motor Vehicles,Marti Marsh,3PCO - Closed,03/30/2019,"$9,660.00",2
81DMV-NV20-2521,Vision Screener and Bulbs,Stereo Optical,Department of Motor Vehicles,Department of Motor Vehicles,Gail Burchett,3PCO - Closed,07/18/2019,"$10,815.31",2
81DMV-NV20-2522,Vision Screener and Bulbs,Stereo Optical,Department of Motor Vehicles,Department of Motor Vehicles,Gail Burchett,3PCO - Closed,07/18/2019,"$17,418.51",2
81DMV-NV20-2783,Duplo Pro Cutter ,"Canon Solutions America, Inc.",Department of Motor Vehicles,Department of Motor Vehicles,Marti Marsh,3PCO - Closed,09/11/2019,"$91,800.00",2
81DMV-NV20-3000,License Plate Sheeting,3M Company,Department of Motor Vehicles,Department of Motor Vehicles,Teri Becker,3PCO - Closed,10/03/2019,"$526,114.44",2
90DETR-NV19-2016,Voice Board,"CDW Government, Inc.","Department of Employment, Training and Rehabilitation",DETR Administrative Services,Marti Marsh,3PCO - Closed,04/06/2019,"$7,750.00",2
90DETR-NV20-2690,Client Training and Instruction,Northwest Career College,"Department of Employment, Training and Rehabilitation",Rehabilitation Division,Gail Burchett,3PCR - Complete Receipt,08/21/2019,"$7,197.50",2
99SWC-NV18-1147:1,Medical Exams ,Ronald G. Kong MD PC,"Department of Employment, Training and Rehabilitation",Rehabilitation Division,Melissa Starr,3PCR - Complete Receipt,11/09/2018,$465.00,2
99SWC-NV18-417:16,NV LTE Governor's Office & IQ- FY23 renewal,SHI International Corp,Lieutenant Governor's Office,Lieutenant Governor's Office,Keri Terra,3PS - Sent,09/06/2022,"$5,720.00",2
99SWC-NV18-836:2,Home Care Provider,Covenant of Love Residential,Department of Human Services,Public and Behavioral Health,Menyone Thomas,3PCR - Complete Receipt,08/17/2020,"$16,231.57",2
99SWC-NV19-1234:1992,"G2B From Office Depot, Inc.",Office Depot,Governor's Office,Nuclear Projects Office,Andria Wilson,3PS - Sent,01/03/2022,$155.79,2
99SWC-NV19-1234:28,office supplies,Office Depot,Department of Conservation and Natural Resources,Division of Water Resources,Sunshine  Morgan,3PS - Sent,10/16/2019,$284.27,2
99SWC-NV19-1234:490,"G2B From Office Depot, Inc.",Office Depot,Department of Business and Industry,Division of Industrial Relations,Megan Amunson,3PCR - Complete Receipt,08/17/2020,$69.59,2
99SWC-NV19-1234:492,Corrected LV Webcam and Laminator,Office Depot,Department of Conservation and Natural Resources,Historic Preservation,Shana Johnson,3PS - Sent,08/17/2020,$158.73,2
99SWC-NV19-1234:493,CC - August 2020 Office Supplies,Office Depot,Department of Business and Industry,Nevada Attorney for Injured Workers,Nancy Sherwood,3PCR - Complete Receipt,08/17/2020,$248.70,2
99SWC-NV19-1253:129,Wall Mounts for Laptops,"CDW Government, Inc.",Department of Human Services,Aging and Disability Services Division,Justin Harmon,3PS - Sent,06/14/2021,$114.00,2
99SWC-NV19-1253:540,"G2B From CDW Government, Inc.","CDW Government, Inc.",Department of Administration,OCIO,Megan Austin,3PS - Sent,07/19/2022,"$1,009.28",2
99SWC-NV19-1253:545,"G2B From CDW Government, Inc.","CDW Government, Inc.",Department of Administration,OCIO,Noah Tomasco,3PS - Sent,07/22/2022,$504.64,2
99SWC-NV19-1262:42,Engine oil EX70435,FACTORY MOTOR PARTS CO,Department of Conservation and Natural Resources,Forestry Division,James Farr,3PCO - Closed,08/17/2020,$112.62,3
99SWC-NV19-1271:1056,"G2B From Dell Marketing L.P, LLC dba Dell EMC","Dell Marketing L.P, LLC dba Dell EMC",Department of Taxation,Department of Taxation,Annette Morfin,3PS - Sent,06/24/2021,$826.00,2
99SWC-NV19-1445:1,Background checks and searches for CSEP and I&R,West Publishing Corporation,Department of Human Services,Social Services,Shannon Jones,3PCR - Complete Receipt,01/07/2020,"$13,848.48",2
99SWC-NV19-1556:2036,G2B From Staples Advantage,Staples Advantage,Department of Conservation and Natural Resources,Forestry Division,Josue Gonzalez-Sanchez,3PCO - Closed,07/22/2021,$.00,2
99SWC-NV19-1556:714,G2B From Staples Advantage,Staples Advantage,Department of Business and Industry,Nevada Housing Division,Amber Baker,3PCR - Complete Receipt,08/17/2020,$9.78,2
99SWC-NV19-1556:719,Staples-LV Staff Supply Order,Staples Advantage,Department of Business and Industry,Division of Industrial Relations,Kim Toledo,3PCR - Complete Receipt,08/17/2020,$796.29,2
99SWC-NV19-1556:722,G2B From Staples Advantage,Staples Advantage,Department of Business and Industry,Real Estate Division,Marina Benn,3PCR - Complete Receipt,08/17/2020,$248.40,3
99SWC-NV19-1556:741,G2B From Staples Advantage,Staples Advantage,Department of Business and Industry,Real Estate Division,Marina Benn,3PS - Sent,08/26/2020,$38.97,2
99SWC-NV19-1580:117,Adobe Acrobat,SHI International Corp,Department of Administration,OCIO,Debra David,3PCR - Complete Receipt,08/17/2020,$333.30,3
99SWC-NV19-1580:118,RED-Adobe Stock and InDesign Renewal-Punchout,SHI International Corp,Department of Business and Industry,Real Estate Division,Kwok Kin Chu,3PCR - Complete Receipt,08/18/2020,"$1,702.47",3
99SWC-NV19-1580:15,G2B From SHI International Corp,SHI International Corp,Department of Administration,OCIO,Debra David,3PCO - Closed,08/29/2019,"$23,447.60",2
99SWC-NV19-1595:2,Court Reporting,Capitol Reporters,Department of Business and Industry,Division of Industrial Relations,LaVonne Hankins,3PCR - Complete Receipt,09/03/2020,$352.20,2
99SWC-NV19-1598:6,Shannon Taylor FY20 Blanket Encumbrance,"Shannon L. Taylor, CCR",Department of Business and Industry,Division of Insurance,Emily Cervi,3PS - Sent,01/10/2020,"$11,299.00",2
99SWC-NV19-1653:8,ESCC Fire Extinguisher Service FY21,Johnson Controls Fire Protection LP,Department of Conservation and Natural Resources,Forestry Division,Rob Stults,3PCO - Closed,07/10/2020,$313.00,2
99SWC-NV19-2108:1023,"G2B From Amazon Capital Services, Inc.","Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Forestry Division,Daniel Eason,3PCO - Closed,05/18/2021,"$1,371.48",2
99SWC-NV19-2108:391,"Kitchen and Trailer Parts G2B From Amazon Capital Services, Inc.","Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Forestry Division,Ainar Johansen,3PCO - Closed,08/17/2020,$403.88,2
99SWC-NV19-2108:394,Las Vegas GPS Units,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Historic Preservation,Shana Johnson,3PS - Sent,08/17/2020,$459.90,2
99SWC-NV19-2108:395,Ethernet Cable 25 ft,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Outdoor Recreation,Sandy Quilici,3PS - Sent,08/17/2020,$7.91,3
99SWC-NV19-2108:403," Kitchen Equipment G2B From Amazon Capital Services, Inc.","Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Forestry Division,Ainar Johansen,3PCO - Closed,08/18/2020,$329.40,2
99SWC-NV19-720:138,Cleaning Supplies/Restocking for Fire Season  & Shop SuppliesG2B From W.W. Grainger,Grainger,Department of Conservation and Natural Resources,Forestry Division,Terri Dillon,3PCO - Closed,05/01/2020,"$1,199.56",2
99SWC-NV19-720:216,Grainger/Instructional Tools Reno,Grainger,Department of Business and Industry,Division of Industrial Relations,Terri Hoogeveen,3PCR - Complete Receipt,08/18/2020,"$1,067.19",2
99SWC-NV19-720:26,G2B From W.W. Grainger,Grainger,Department of Conservation and Natural Resources,Forestry Division,Rob Stults,3PCO - Closed,10/21/2019,"$4,915.30",2
99SWC-NV19-720:2915,FLAMINGO-FILE CABINET- (1)-Grainger,Grainger,Department of Motor Vehicles,Department of Motor Vehicles,Julia Chulay,3PS - Sent,09/13/2023,$711.33,2
99SWC-NV19-936:14,Gartner Individual Advisor,"Gartner, Inc.",Secretary of State's Office,Secretary of State's Office,Ryan Vradenburg,3PS - Sent,08/17/2020,"$31,617.00",2
99SWC-NV20-4283:11,Bulk Dyed Diesel Summer Blend Catalog Requisition,WESTERN ENERGETIX LLC,Department of Conservation and Natural Resources,Forestry Division,Terri Dillon,3PCO - Closed,08/17/2020,"$1,863.50",2
99SWC-NV20-4283:20,CCC Bulk Fuel December,WESTERN ENERGETIX LLC,Department of Conservation and Natural Resources,Forestry Division,Colleen Lafferty,3PCO - Closed,12/02/2020,"$2,691.84",2
99SWC-NV20-4288:18,TCC FY24 Bulk Fuel,"Rebel Oil Company, Inc.",Department of Conservation and Natural Resources,Forestry Division,Daniel Eason,3PCO - Closed,08/22/2024,"$7,518.34",2
99SWC-NV20-4867:16,ESCC  FY 23 bulk fuel ,Capitol Shell,Department of Conservation and Natural Resources,Forestry Division,Jason Foster,3PCO - Closed,08/24/2022,"$5,921.65",2
99SWC-NV21-7020:23,Mallory-IH Equipment-RNO 2879573,"Mallory Safety and Supply, LLC",Department of Business and Industry,Division of Industrial Relations,Kim Toledo,3PCR - Complete Receipt,09/14/2021,"$5,950.62",2
99SWC-NV21-7310:325,CCC FY25 Seasonal Drug Screen R. Dolojan,"Drug Free Workplaces USA, LLC",Department of Conservation and Natural Resources,Forestry Division,Colleen Lafferty,3PCO - Closed,05/06/2025,$56.00,2
99SWC-NV21-7310:336,ECC FY25 Seasonal Drug Screen: M. Nathan,"Drug Free Workplaces USA, LLC",Department of Conservation and Natural Resources,Forestry Division,Colleen Lafferty,3PCO - Closed,05/19/2025,$56.00,2
99SWC-NV22-11429:10350,"G2B From Amazon Capital Services, Inc.","Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Historic Preservation,Carolyn Furin,3PCR - Complete Receipt,06/11/2024,$44.99,2
99SWC-NV22-11429:277,"G2B From Amazon Capital Services, Inc.","Amazon Capital Services, Inc.",Department of Human Services,Aging and Disability Services Division,Edita Abell,3PCR - Complete Receipt,04/29/2022,$292.00,2
99SWC-NV22-11429:5963,"G2B From Amazon Capital Services, Inc.","Amazon Capital Services, Inc.",Department of Administration,OCIO,ELIZABETH SMITH,3PS - Sent,09/05/2023,$359.98,2
99SWC-NV22-11429:761,"G2B From Amazon Capital Services, Inc.","Amazon Capital Services, Inc.",Department of Public Safety,Nevada Parole and Probation,Melissa Dougherty,3PS - Sent,06/03/2022,$22.84,2
99SWC-NV22-11706:15,Mandarin Translator for June CIC Commission,Diversidad LLC,Department of Business and Industry,Real Estate Division,Shareece Bates,3PCR - Complete Receipt,05/22/2024,"$1,000.00",2
99SWC-NV22-12209:120,CONWAY - 209 E MUSSER,Conway Communications Inc.,Governor's Office,Governor's Finance Office,Brittany Howe,3PCR - Complete Receipt,09/19/2024,$445.97,2
99SWC-NV22-9483:91,Brake Clean,FACTORY MOTOR PARTS CO,Department of Conservation and Natural Resources,Forestry Division,Daniel Weiss,3PCO - Closed,07/25/2025,$145.44,2
99SWC-NV23-12600:1,NASPO GO Device/Subscription,USA Fleet Solutions,Department of Administration,Fleet Services Division,Wendy Pfaff,3PCR - Complete Receipt,08/22/2022,"$277,260.00",2
99SWC-NV23-14151:112,WESTFALL - 9400 GATEWAY,"Westfall Commercial Furniture, Inc.",Governor's Office,Governor's Finance Office,Brittany Howe,3PCR - Complete Receipt,09/11/2024,"$136,214.27",2
99SWC-NV23-15340:1058,"G2B From ODP Business Solutions, LLC","ODP Business Solutions, LLC",Department of Business and Industry,Division of Mortgage Lending,Christina Lugo,3PCR - Complete Receipt,01/25/2024,$199.02,2
99SWC-NV23-15340:1495,"Office Supplies ODP Business Solutions, LLC","ODP Business Solutions, LLC",Department of Motor Vehicles,Department of Motor Vehicles,Matthew Medeiros,3PCR - Complete Receipt,05/15/2024,$114.39,2
99SWC-NV23-15341:468,G2B From Staples Advantage,Staples Advantage,Commission on Mineral Resources,Commission on Mineral Resource,Rebecca Tims,3PCR - Complete Receipt,05/16/2023,$15.37,2
99SWC-NV24-18710:21,ACE - 1820 E SAHARA,ACE WORLD WIDE WEST,Governor's Office,Governor's Finance Office,Brittany Howe,3PCR - Complete Receipt,07/30/2024,"$5,240.50",2
99SWC-NV24-20873:7,Hawthorn Chairs ,Create Spaces,Department of Human Services,Social Services,Karen Killian,3PCO - Closed,03/06/2024,"$1,317.76",2
