"Contract #","Bid Solicitation #","Description","Vendor","Type Code","Dollars Spent to Date","Organization","Status","Begin Date","End Date"
"99SWC-NV25-24171","","Punchout Catalog","Fastenal Company","","$3,784.58","Statewide Contracts","3PS - Sent","09/01/2024","08/31/2026"
"99SWC-NV25-24162","","Security and Fire Protection Services (NASPO ValuePointe Master Agreement)","LONG Building Technologies, Inc.","","$0.00","Statewide Contracts","3PS - Sent","07/24/2023","07/31/2028"
"99SWC-NV25-24059","","Business and IT Consulting and Advisory Services (Omnia  - Region 14 ESC - TX)","BerryDunn","","$0.00","Statewide Contracts","3PS - Sent","04/04/2025","06/30/2026"
"99SWC-NV25-24056","","Electronic Monitoring  (NASPO)","Alcohol Monitoring Systems, Inc.","","$0.00","Statewide Contracts","3PS - Sent","01/10/2025","11/21/2029"
"99SWC-NV25-23982","","WIC Infant Formula Rebate (NASPO - Kansas)","Abbott Laboratories Inc.","","$0.00","Statewide Contracts","3PS - Sent","01/29/2025","01/28/2030"
"99SWC-NV25-23945","","Heavy Construction Equipment (Sourcewell - MN)","Deere & Company","","$154,068.00","Statewide Contracts","3PS - Sent","04/05/2023","04/14/2027"
"99SWC-NV25-23813","","Direct Client Services","UNLV Medicine","","$100,000.00","Statewide Contracts","3PS - Sent","10/02/2024","09/30/2028"
"99SWC-NV25-23516","","Traffic Control Products And Related Products And Solutions","TAPCO","","$0.00","Statewide Contracts","3PS - Sent","10/28/2024","02/28/2026"
"99SWC-NV25-23509","","Temporary IT Augmentation Services","Knowledge Services","","$7,003,693.10","Statewide Contracts","3PS - Sent","07/01/2025","10/31/2029"
"99SWC-NV25-23384","","Facilities MRO and Industrial Supplies (NASPO)","Lawson Products","","$0.00","Statewide Contracts","3PS - Sent","09/01/2024","12/31/2026"
"99SWC-NV25-23383","","Facilities MRO and Industrial Supplies (NASPO)","HD Supply Facilities Maintenance Ltd.","","$0.00","Statewide Contracts","3PS - Sent","09/01/2024","08/31/2026"
"99SWC-NV25-23380","","Facilities MRO and Industrial Supplies (NASPO)","Global Industrial Company","","$3,931.99","Statewide Contracts","3PS - Sent","09/01/2024","08/31/2026"
"99SWC-NV25-23373","","Facilities MRO and Industrial Supplies (NASPO)","Grainger","","$281.58","Statewide Contracts","3PS - Sent","09/01/2024","08/31/2026"
"99SWC-NV25-23372","","Facilities MRO and Industrial Supplies (NASPO)","MSC Industrial Supply Co.","","$0.00","Statewide Contracts","3PS - Sent","09/01/2024","08/31/2026"
"99SWC-NV25-23371","","Facilities MRO and Industrial Supplies (NASPO)","Fastenal Company","","$0.00","Statewide Contracts","3PS - Sent","09/01/2024","08/31/2026"
"99SWC-NV25-23353","","Snowplow and Grader Cutting Edges (NASPO)","Winter Equipment Company","","$0.00","Statewide Contracts","3PS - Sent","03/29/2024","03/28/2031"
"99SWC-NV25-23352","","Snowplow and Grader Cutting Edges (NASPO)","Valk Manufacturing Company","","$0.00","Statewide Contracts","3PS - Sent","03/29/2024","03/28/2031"
"99SWC-NV25-23351","","Snowplow and Grader Cutting Edges (NASPO)","Nordik Blades","","$0.00","Statewide Contracts","3PS - Sent","03/29/2024","03/28/2031"
"99SWC-NV25-23350","","Snowplow and Grader Cutting Edges (NASPO)","Kueper North America LLC","","$0.00","Statewide Contracts","3PS - Sent","03/29/2024","03/28/2031"
"99SWC-NV25-23348","","Snowplow and Grader Cutting Edges (NASPO)","Evolution Edges","","$0.00","Statewide Contracts","3PS - Sent","03/29/2024","03/28/2031"
"99SWC-NV25-22954","","Police Radar/Lidar Speed Enforcement and Accident Scene Reconstruction (NASPO)","Kustom Signals, Inc. ","","$0.00","Statewide Contracts","3PS - Sent","09/01/2024","08/31/2027"
"99SWC-NV25-22951","","Police Radar/Lidar Speed Enforcement and Accident Scene Reconstruction (NASPO)","MPH Industries, Inc.","","$162,910.80","Statewide Contracts","3PS - Sent","09/01/2024","08/31/2027"
"99SWC-NV25-22909","","KAHL Commercial Interiors Furniture Orders","KAHL Commercial Interiors Inc","","$100,297.83","Statewide Contracts","3PS - Sent","08/29/2024","01/21/2028"
"99SWC-NV25-22823","","Police Radar/Lidar Speed Enforcement and Accident Scene Reconstruction (NASPO)","LASER TECHNOLOGY INC","","$0.00","Statewide Contracts","3PS - Sent","09/01/2024","08/31/2027"
"99SWC-NV25-22787","","Police Radar/Lidar Speed Enforcement and Accident Scene Reconstruction (NASPO)","STALKER RADAR","","$0.00","Statewide Contracts","3PS - Sent","09/01/2024","08/31/2027"
"99SWC-NV25-22708","","Laboratory Equipment and Supplies (NASPO ValuePoint, ID)","Pacific Star Corporation","","$0.00","Statewide Contracts","3PS - Sent","08/14/2024","02/28/2029"
"99SWC-NV25-22471","","Multi-Function Devices and Related Software, Services and Cloud Solutions (NASPO ValuePoint, CO)","Kyocera Document Solutions America, Inc.","","$0.00","Statewide Contracts","3PS - Sent","09/26/2024","07/31/2026"
"99SWC-NV25-22381","","Multi-Function Devices and Related Software, Services and Cloud Solutions (NASPO ValuePoint, CO)","Sharp Electronics Corporation","","$0.00","Statewide Contracts","3PS - Sent","08/01/2024","07/31/2026"
"99SWC-NV25-22380","","Multi-Function Devices and Related Software, Services and Cloud Solutions (NASPO ValuePoint, CO)","Xerox Corporation","","$709.32","Statewide Contracts","3PS - Sent","07/29/2024","07/31/2026"
"99SWC-NV25-22379","","Multi-Function Devices and Related Software, Services and Cloud Solutions (NASPO ValuePoint, CO)","Ricoh USA, Inc.","","$632.33","Statewide Contracts","3PS - Sent","11/01/2024","07/31/2026"
"99SWC-NV25-22378","","Multi-Function Devices and Related Software, Services and Cloud Solutions NASPO ValuePointt, CO)","Konica Minolta Business Solutions USA, Inc.","","$0.00","Statewide Contracts","3PS - Sent","08/09/2024","07/31/2026"
"99SWC-NV25-22341","","Multi-Function Devices and Related Software, Services and Cloud Solutions (NASPO ValuePoint, CO)","Canon U.S.A., Inc.","","$539,927.90","Statewide Contracts","3PS - Sent","08/28/2024","07/31/2026"
"99SWC-NV25-22273","","Punchout Catalog","Brady Industries of Nevada, LLC","","$568,392.79","Statewide Contracts","3PS - Sent","07/01/2024","12/31/2026"
"99SWC-NV25-22259","","	Preferred Purchase Program","Supported Living Solutions","","$0.00","Statewide Contracts","3PS - Sent","07/02/2024","07/31/2028"
"99SWC-NV25-22234","","Preferred Purchase Program","St Vincent DePaul Rehabilitation Service of Texas DBA Peak Performers ","","$0.00","Statewide Contracts","3PS - Sent","10/18/2024","07/31/2028"
"99SWC-NV24-25565","","Voice and Data Transport Services","AT&T","","$0.00","Statewide Contracts","3PS - Sent","07/01/2025","06/30/2029"
"99SWC-NV24-24229","","Temporary Medical Staffing","MHM Solutions, LLC","","$0.00","Statewide Contracts","3PS - Sent","02/12/2025","02/28/2029"
"99SWC-NV24-22966","","Fire Fuels Reduction - Air Craft Only","Aero SEAT Inc","","$0.00","Statewide Contracts","3PS - Sent","05/14/2024","04/13/2028"
"99SWC-NV24-22965","","Fire Fuels Reduction - Air Craft Only","Heli-1 Corporation","","$0.00","Statewide Contracts","3PS - Sent","05/14/2024","04/13/2028"
"99SWC-NV24-22192","","Tires, Tubes and Services (NASPO)","Continental Tire the Americas LLC","","$0.00","Statewide Contracts","3PS - Sent","07/01/2024","06/30/2027"
"99SWC-NV24-22141","","Punchout Catalog","Thomas Scientific","","$572.06","Statewide Contracts","3PS - Sent","02/26/2024","02/28/2029"
"99SWC-NV24-22108","","EQUIPMENT RENTALS (Sourcewell)","United Rentals (North America), Inc.","","$39,670.90","Statewide Contracts","3PS - Sent","06/11/2024","06/11/2028"
"99SWC-NV24-22074","","Tires, Tubes and Services (NASPO)","Michelin North America, Inc.","","$1,349.80","Statewide Contracts","3PS - Sent","07/01/2024","06/30/2027"
"99SWC-NV24-22073","","Tires, Tubes and Services (NASPO)","Bridgestone Americas Tire Operations LLC","","$16,069.45","Statewide Contracts","3PS - Sent","07/01/2024","06/30/2027"
"99SWC-NV24-22069","","Hazardous Waste Removal and Disposal","Graymar Environmental Services, Inc.","","$131,100.18","Statewide Contracts","3PS - Sent","08/14/2024","08/31/2028"
"99SWC-NV24-21898","","Tires, Tubes and Services (NASPO)","The Goodyear Tire & Rubber Company","","$94,460.11","Statewide Contracts","3PS - Sent","07/01/2024","06/30/2027"
"99SWC-NV24-21784","","Fire Fuels Reduction and Vegetation Management Services - Ground Only ","Battle Born Tree Service LLC","","$0.00","Statewide Contracts","3PS - Sent","07/09/2024","07/08/2028"
"99SWC-NV24-21783","","Fire Fuels Reduction and Vegetation Management Services - Ground Only ","Cross Check Services LLC","","$0.00","Statewide Contracts","3PS - Sent","07/09/2024","07/08/2028"
"99SWC-NV24-21782","","Fire Fuels Reduction and Vegetation Management Services - Ground Only ","Anvil Builders Inc","","$0.00","Statewide Contracts","3PS - Sent","07/09/2024","07/08/2028"
"99SWC-NV24-21781","","Fire Fuels Reduction and Vegetation Management Services - Ground Only ","Tahoe Forest Products,LLC","","$0.00","Statewide Contracts","3PS - Sent","07/09/2024","07/08/2028"
"99SWC-NV24-21780","","Fire Fuels Reduction and Vegetation Management Services - Ground Only ","Wildlife and Wetlands Solutions, LLC","","$0.00","Statewide Contracts","3PS - Sent","07/09/2024","06/07/2027"
"99SWC-NV24-21779","","Fire Fuels Reduction and Vegetation Management Services - Ground Only ","Papa Lew's Custom Exteriors, LLC","","$0.00","Statewide Contracts","3PS - Sent","07/09/2024","07/08/2028"
"99SWC-NV24-21778","","Fire Fuels Reduction and Vegetation Management Services - Ground Only ","Truckee Meadows Fire Protection District","","$0.00","Statewide Contracts","3PS - Sent","05/14/2024","05/13/2028"
"99SWC-NV24-21777","","Fire Fuels Reduction and Vegetation Management Services - Ground Only ","DG Environmental","","$0.00","Statewide Contracts","3PS - Sent","07/09/2024","07/08/2028"
"99SWC-NV24-21776","","Fire Fuels Reduction and Vegetation Management Services - Ground Only ","Community Tree Service, LLC","","$0.00","Statewide Contracts","3PS - Sent","07/09/2024","07/08/2028"
"99SWC-NV24-21775","","Fire Fuels Reduction and Vegetation Management Services - Ground Only ","Eureka Mill Company, LLC.","","$263,276.00","Statewide Contracts","3PS - Sent","07/09/2024","07/08/2028"
"99SWC-NV24-21774","","Fire Fuels Reduction and Vegetation Management Services - Ground Only ","VM West, LP","","$0.00","Statewide Contracts","3PS - Sent","07/09/2024","07/08/2028"
"99SWC-NV24-21737","","Bulk Fuel Purchase and Delivery Service","Pilot Thomas Logistics, LLC","","$23,805.82","Statewide Contracts","3PS - Sent","03/19/2024","01/29/2026"
"99SWC-NV24-21690","","IT Managed Service Providers (NASPO-Connecticut)","Knowledge Services","","$0.00","Statewide Contracts","3PS - Sent","06/06/2024","10/31/2026"
"99SWC-NV24-21684","","Technology Product Solutions and Related Services OMNIA","Insight Public Sector, Inc.","","$95,430.70","Statewide Contracts","3PS - Sent","05/01/2024","04/30/2026"
"99SWC-NV24-21649","","Transcription Services","Always On Time, LLC","","$0.00","Statewide Contracts","3PS - Sent","07/01/2024","06/30/2028"
"99SWC-NV24-21648","","Transcription Services","Dictate Express","","$0.00","Statewide Contracts","3PS - Sent","07/01/2024","06/30/2028"
"99SWC-NV24-21647","","Transcription Services","Resolute Documentation Services","","$13,500.00","Statewide Contracts","3PS - Sent","07/01/2024","06/30/2028"
"99SWC-NV24-21572","","Unmanned Vehicle Systems (Sourcewell)","RMUS","","$16,307.70","Statewide Contracts","3PS - Sent","04/05/2024","03/24/2027"
"99SWC-NV24-21519","","Software Products and Services (OMNIA)","Vertosoft LLC","","$0.00","Statewide Contracts","3PS - Sent","05/01/2023","04/30/2026"
"99SWC-NV24-21476","","Workplace Investigation Services","Simmons Group, LLC","","$0.00","Statewide Contracts","3PS - Sent","04/08/2024","06/30/2028"
"99SWC-NV24-21363","","Mailing Equipment, Supplies and Maintenance (AZ, NASPO)","OPEX Corporation","","$7,110.00","Statewide Contracts","3PS - Sent","05/07/2024","05/14/2026"
"99SWC-NV24-21362","","Mailing Equipment, Supplies and Maintenance (AZ, NASPO)","FP Mailing Solutions","","$0.00","Statewide Contracts","3PS - Sent","04/03/2024","05/14/2026"
"99SWC-NV24-21082","","Faciliteq NV, LLC  Furniture Orders","FACILITEQ NV LLC ","","$9,236.31","Statewide Contracts","3PS - Sent","01/26/2024","01/21/2028"
"99SWC-NV24-21065","","High-Quality, Efficient Storage Solutions (Sourcewell)","Spacesaver Intermountain","","$0.00","Statewide Contracts","3PS - Sent","03/25/2024","12/29/2027"
"99SWC-NV24-21000","","Laboratory Equipment and Supplies","Fisher Scientific Company, LLC","","$422,795.29","Statewide Contracts","3PS - Sent","03/01/2024","02/28/2029"
"99SWC-NV24-20978","","Computer Equipment, Peripherals and Related Services (NASPO)","Microsoft Corporation","","$6,445.31","Statewide Contracts","3PS - Sent","02/23/2024","06/30/2026"
"99SWC-NV24-20942","","Moving Services - Northern Nevada","move4less LLC","","$79,067.50","Statewide Contracts","3PS - Sent","03/01/2024","07/01/2027"
"99SWC-NV24-20937","","Debt and Lease Management Software and Consulting Services (OMNIA Partners)","Fifth Asset, Inc. d/b/a DebtBook","","$0.00","Statewide Contracts","3PS - Sent","08/16/2021","07/31/2026"
"99SWC-NV24-20894","","Heavy Equipment, Parts, Accessories, Supplies and Related Services (OMNIA)","Caterpillar Inc.","","$33,400.00","Statewide Contracts","3PS - Sent","10/03/2022","10/02/2026"
"99SWC-NV24-20893","","Laboratory Equipment and Supplies","Thomas Scientific","","$768.19","Statewide Contracts","3PS - Sent","02/26/2024","02/28/2029"
"99SWC-NV24-20892","","Laboratory Equipment and Supplies","VWR INTERNATIONAL LLC ","","$5,709.26","Statewide Contracts","3PS - Sent","03/01/2024","02/28/2029"
"99SWC-NV24-20891","","Laboratory Equipment and Supplies","Nikon Instruments Inc.","","$0.00","Statewide Contracts","3PS - Sent","03/01/2024","02/28/2029"
"99SWC-NV24-20873","","Spaces Furniture Orders","Create Spaces","","$668,851.17","Statewide Contracts","3PS - Sent","02/12/2024","01/21/2028"
"99SWC-NV24-20767","","Non-Commercial Sustaining Announcements","Nevada Broadcasters Association","","$10,000.00","Statewide Contracts","3PS - Sent","02/06/2024","02/28/2028"
"99SWC-NV24-20759","","NASPO ValuePoint Master Agreement For Acquisition Support Services (PASS)","BerryDunn","","$4,811,366.00","Statewide Contracts","3PS - Sent","02/01/2024","10/31/2025"
"99SWC-NV24-20727","","Heavy Construction Equipment (Sourcewell)","CNH Industrial America LLC,","","$0.00","Statewide Contracts","3PS - Sent","04/04/2023","04/14/2027"
"99SWC-NV24-20696","","Public Safety Video Systems (NASPO)","COBAN Technologies, Inc.","","$0.00","Statewide Contracts","3PS - Sent","07/01/2023","06/30/2028"
"99SWC-NV24-20678","","Fuel management and fleet dispensing solutions (Sourcewell)","Dover Fueling Solutions","","$0.00","Statewide Contracts","3PS - Sent","12/08/2020","12/07/2025"
"99SWC-NV24-20573","","ABANDONED MINE LANDS & BAT GATE INSTALLATION SERVICES","McGinley & Associates, Inc.","","$31,641.18","Statewide Contracts","3PS - Sent","02/13/2024","02/12/2028"
"99SWC-NV24-20572","","ABANDONED MINE LANDS & BAT GATE INSTALLATION SERVICES","Environmental Protection Services","","$0.00","Statewide Contracts","3PS - Sent","02/13/2024","02/12/2028"
"99SWC-NV24-20571","","ABANDONED MINE LANDS & BAT GATE INSTALLATION SERVICES","HydroGeoLogic, Inc.","","$0.00","Statewide Contracts","3PS - Sent","02/13/2024","02/12/2028"
"99SWC-NV24-20570","","ABANDONED MINE LANDS & BAT GATE INSTALLATION SERVICES","Western Ecosystems Technology, Inc.","","$500,000.00","Statewide Contracts","3PS - Sent","02/13/2024","02/12/2028"
"99SWC-NV24-20569","","ABANDONED MINE LANDS & BAT GATE INSTALLATION SERVICES","Frontier Environmental Solutions INC","","$0.00","Statewide Contracts","3PS - Sent","03/12/2024","02/12/2028"
"99SWC-NV24-20568","","ABANDONED MINE LANDS & BAT GATE INSTALLATION SERVICES","Transcon Environmental, Inc.","","$0.00","Statewide Contracts","3PS - Sent","03/12/2024","02/12/2028"
"99SWC-NV24-20567","","ABANDONED MINE LANDS & BAT GATE INSTALLATION SERVICES","Mountain States Restoration, LLC","","$1,120,000.00","Statewide Contracts","3PS - Sent","02/13/2024","02/12/2028"
"99SWC-NV24-20566","","ABANDONED MINE LANDS & BAT GATE INSTALLATION SERVICES","Broadbent & Associates, Inc.","","$556,561.79","Statewide Contracts","3PS - Sent","02/13/2024","02/12/2028"
"99SWC-NV24-20550","","Medical Surgical Supplies (MMCAP)","McKesson Medical-Surgical Government Solutions LLC","","$545,379.87","Statewide Contracts","3PS - Sent","05/02/2023","12/31/2026"
"99SWC-NV24-20549","","Integrated communications experiences (Sourcewell)","Avaya Inc.","","$0.00","Statewide Contracts","3PS - Sent","03/15/2023","03/17/2027"
"99SWC-NV24-20531","","Office Furniture and Related Services (NASPO ValuePoint-Utah)","Haworth Inc","","$0.00","Statewide Contracts","3PS - Sent","01/26/2024","01/21/2028"
"99SWC-NV24-20471","","Public Safety Video Systems (NASPO)","Axon Enterprise, Inc.","","$802,438.01","Statewide Contracts","3PS - Sent","07/01/2023","06/30/2028"
"99SWC-NV24-20468","","Punchout Catalog","Premier Medical Distribution LLC","","$45,527.42","Statewide Contracts","3PS - Sent","06/01/2023","12/31/2026"
"99SWC-NV24-20347","","Electrical Energy Power Gen Equipment (Sourcewell)","Generac Power Systems Inc","","$0.00","Statewide Contracts","3PS - Sent","12/01/2022","11/22/2026"
"99SWC-NV24-20313","","Recruiting, Branding and Marketing Strategies (Commonwealth of Kentucky)","Deloitte Consulting LLP","","$0.00","Statewide Contracts","3PS - Sent","06/22/2023","06/30/2026"
"99SWC-NV24-20220","","Restroom and Shower Facility Solutions (Sourcewell)","Romtec, Inc.","","$0.00","Statewide Contracts","3PS - Sent","10/13/2021","10/15/2025"
"99SWC-NV24-20218","","Electrical Energy Power Gen Equipment (Sourcewell)","Cummins Sales and Service","","$0.00","Statewide Contracts","3PS - Sent","11/17/2022","11/22/2026"
"99SWC-NV24-20197","","MMCAP - Medical Surgical Supplies","Henry Schein Inc. (Medical)","","$66,528.00","Statewide Contracts","3PS - Sent","11/01/2023","12/31/2026"
"99SWC-NV24-20080","","Recruiting, Branding and Marketing Strategies (Commonwealth of Kentucky)","All-Star Talent Inc","","$1,000,000.00","Statewide Contracts","3PS - Sent","06/22/2023","06/30/2026"
"99SWC-NV24-20046","","Computer Equipment, Peripherals and Related Services (NASPO)","Dell Marketing L.P, LLC dba Dell EMC","","$1,821,028.67","Statewide Contracts","3PS - Sent","01/31/2024","06/30/2026"
"99SWC-NV24-20027","","Computer Equipment, Peripherals and Related Services (NASPO)","HEWLETT PACKARD ENTERPRISE COMPANY","","$0.00","Statewide Contracts","3PS - Sent","01/31/2024","06/30/2026"
"99SWC-NV24-20024","","Computer Equipment, Peripherals and Related Services (NASPO ValuePoint )","Lenovo (United States), Inc","","$0.00","Statewide Contracts","3PS - Sent","02/18/2024","06/30/2026"
"99SWC-NV24-20020","","Computer Equipment, Peripherals and Related Services  (NASPO)","Panasonic Corporation of North America","","$232,958.42","Statewide Contracts","3PS - Sent","01/31/2024","06/30/2026"
"99SWC-NV24-19969","","Vehicle Lifts and Related Garage Equipment (NASPO)","Stertil-Koni USA, Inc.","","$0.00","Statewide Contracts","3PS - Sent","04/01/2023","03/31/2028"
"99SWC-NV24-19965","","Agri Tractors w/ Related Attachments, Accessories and Supplies (Sourcewell)","Deere & Company","","$0.00","Statewide Contracts","3PS - Sent","10/16/2023","10/11/2027"
"99SWC-NV24-19750","","Computer Equipment, Peripherals & Related Services","Zebra Technologies International LLC","","$0.00","Statewide Contracts","3PS - Sent","07/01/2023","06/30/2028"
"99SWC-NV24-19647","","Cloud Solutions (NASPO-Utah)","Askreply Inc","","$0.00","Statewide Contracts","3PS - Sent","11/06/2023","09/15/2026"
"99SWC-NV24-19588","","Occupational Health Services","Concentra Medical Centers","","$102,902.47","Statewide Contracts","3PS - Sent","01/01/2024","12/31/2028"
"99SWC-NV24-19587","","Occupational Health Services","William Bee Ririe Hospital","","$12,511.00","Statewide Contracts","3PS - Sent","01/01/2024","12/31/2028"
"99SWC-NV24-19558","","Punchout Catalog","Bob Barker Company, Inc.","","$501,152.15","Statewide Contracts","3PS - Sent","03/29/2021","10/04/2025"
